id,id_disputa,date,HAHA,LIKE,LOVE,SUPPORT,WOW,SORRY,ANGER
13148,3,"2020-08-31 00:55:30",470,3,1,1,2,2,1447
13149,3,"2020-08-31 00:55:45",470,3,1,1,2,2,1447
13150,3,"2020-08-31 00:56:00",470,3,1,1,2,2,1447
13151,3,"2020-08-31 00:56:15",470,3,1,1,2,2,1447
13152,3,"2020-08-31 00:56:30",470,3,1,1,2,2,1447
13153,3,"2020-08-31 00:56:45",470,3,1,1,2,2,1449
13154,3,"2020-08-31 00:57:00",470,3,1,1,2,2,1449
13155,3,"2020-08-31 00:57:25",470,3,1,1,2,2,1449
13156,3,"2020-08-31 00:57:30",470,3,1,1,2,2,1449
13157,3,"2020-08-31 00:57:45",470,3,1,1,2,2,1450
13158,3,"2020-08-31 00:58:00",470,3,1,1,2,2,1451
13159,3,"2020-08-31 00:58:16",470,3,1,1,2,2,1451
13160,3,"2020-08-31 00:58:30",470,3,1,1,2,2,1451
13161,3,"2020-08-31 00:58:46",470,3,1,1,2,2,1451
13162,3,"2020-08-31 00:59:00",470,3,1,1,2,2,1451
13163,3,"2020-08-31 00:59:15",470,3,1,1,2,2,1452
13164,3,"2020-08-31 00:59:30",470,3,1,1,2,2,1452
13165,3,"2020-08-31 00:59:45",470,3,1,1,2,2,1452
13166,3,"2020-08-31 01:00:00",470,3,1,1,2,2,1452
13167,3,"2020-08-31 01:00:15",470,3,1,1,2,2,1452
13168,3,"2020-08-31 01:00:30",470,3,1,1,2,2,1452
13169,3,"2020-08-31 01:00:45",471,3,1,1,2,2,1452
13170,3,"2020-08-31 01:01:00",471,3,1,1,2,2,1453
13171,3,"2020-08-31 01:01:15",471,3,1,1,2,2,1453
13172,3,"2020-08-31 01:01:30",471,3,1,1,2,2,1453
13173,3,"2020-08-31 01:01:45",471,3,1,1,2,2,1453
13174,3,"2020-08-31 01:02:00",471,3,1,1,2,2,1453
13175,3,"2020-08-31 01:02:15",471,3,1,1,2,2,1455
13176,3,"2020-08-31 01:02:30",471,3,1,1,2,2,1457
13177,3,"2020-08-31 01:02:45",471,3,1,1,2,2,1458
13178,3,"2020-08-31 01:03:00",471,3,1,1,2,2,1458
13179,3,"2020-08-31 01:03:15",472,3,1,1,2,2,1458
13180,3,"2020-08-31 01:03:30",472,3,1,1,2,2,1459
13181,3,"2020-08-31 01:03:45",472,3,1,1,2,2,1459
13182,3,"2020-08-31 01:04:00",472,3,1,1,2,2,1460
13183,3,"2020-08-31 01:04:15",472,3,1,1,2,2,1460
13184,3,"2020-08-31 01:04:30",473,3,1,1,2,2,1460
13185,3,"2020-08-31 01:04:45",473,3,1,1,2,2,1461
13186,3,"2020-08-31 01:05:00",473,3,1,1,2,2,1461
13187,3,"2020-08-31 01:05:15",473,3,1,1,2,2,1461
13188,3,"2020-08-31 01:05:30",473,3,1,1,2,2,1463
13189,3,"2020-08-31 01:05:45",473,3,1,1,2,2,1463
13190,3,"2020-08-31 01:06:01",473,3,1,1,2,2,1463
13191,3,"2020-08-31 01:06:15",474,3,1,1,2,2,1464
13192,3,"2020-08-31 01:06:30",473,3,1,1,2,2,1464
13193,3,"2020-08-31 01:06:45",473,3,1,1,2,2,1464
13194,3,"2020-08-31 01:07:00",473,3,1,1,2,2,1464
13195,3,"2020-08-31 01:07:15",474,3,1,1,2,2,1464
13196,3,"2020-08-31 01:07:30",474,3,1,1,2,2,1465
13197,3,"2020-08-31 01:07:45",474,3,1,1,2,2,1465
13198,3,"2020-08-31 01:08:00",474,3,1,1,2,2,1465
13199,3,"2020-08-31 01:08:15",474,3,1,1,2,2,1466
13200,3,"2020-08-31 01:08:30",474,3,1,1,2,2,1466
13201,3,"2020-08-31 01:08:45",474,3,1,1,2,2,1466
13202,3,"2020-08-31 01:09:00",474,3,1,1,2,2,1466
13203,3,"2020-08-31 01:09:15",474,3,1,1,2,2,1466
13204,3,"2020-08-31 01:09:30",475,3,1,1,2,2,1466
13205,3,"2020-08-31 01:09:45",476,3,1,1,2,2,1467
13206,3,"2020-08-31 01:10:00",476,3,1,1,2,2,1467
13207,3,"2020-08-31 01:10:15",476,3,1,1,2,2,1468
13208,3,"2020-08-31 01:10:30",476,3,1,1,2,2,1468
13209,3,"2020-08-31 01:10:45",476,3,1,1,2,2,1470
13210,3,"2020-08-31 01:11:00",476,3,1,1,2,2,1470
13211,3,"2020-08-31 01:11:15",477,3,1,1,2,2,1470
13212,3,"2020-08-31 01:11:30",477,3,1,1,2,2,1470
13213,3,"2020-08-31 01:11:46",477,3,1,1,2,2,1472
13214,3,"2020-08-31 01:12:01",477,3,1,1,2,2,1472
13215,3,"2020-08-31 01:12:16",477,3,1,1,2,2,1473
13216,3,"2020-08-31 01:12:31",477,3,1,1,2,2,1474
13217,3,"2020-08-31 01:12:46",477,3,1,1,2,2,1475
13218,3,"2020-08-31 01:13:01",477,3,1,1,2,2,1476
13219,3,"2020-08-31 01:13:16",477,3,1,1,2,2,1476
13220,3,"2020-08-31 01:13:31",477,3,1,1,2,2,1476
13221,3,"2020-08-31 01:13:46",477,3,1,1,2,2,1477
13222,3,"2020-08-31 01:14:01",477,3,1,1,2,2,1477
13223,3,"2020-08-31 01:14:16",477,3,1,1,2,2,1477
13224,3,"2020-08-31 01:14:31",477,3,1,1,2,2,1477
13225,3,"2020-08-31 01:14:46",477,3,1,1,2,2,1478
13226,3,"2020-08-31 01:15:01",477,3,1,1,2,2,1478
13227,3,"2020-08-31 01:15:16",477,3,1,1,2,2,1478
13228,3,"2020-08-31 01:15:31",478,3,1,1,2,2,1478
13229,3,"2020-08-31 01:15:46",478,3,1,1,2,2,1478
13230,3,"2020-08-31 01:16:01",478,3,1,1,2,2,1478
13231,3,"2020-08-31 01:16:16",478,3,1,1,2,2,1479
13232,3,"2020-08-31 01:16:31",478,3,1,1,2,2,1479
13233,3,"2020-08-31 01:16:46",478,3,1,1,2,2,1479
13234,3,"2020-08-31 01:17:01",478,3,1,1,2,2,1479
13235,3,"2020-08-31 01:17:16",478,3,1,1,2,2,1479
13236,3,"2020-08-31 01:17:31",478,3,1,1,2,2,1480
13237,3,"2020-08-31 01:17:46",478,3,1,1,2,2,1480
13238,3,"2020-08-31 01:18:01",478,3,1,1,2,2,1480
13239,3,"2020-08-31 01:18:16",478,3,1,1,2,2,1480
13240,3,"2020-08-31 01:18:31",478,3,1,1,2,2,1480
13241,3,"2020-08-31 01:18:46",478,3,1,1,2,2,1480
13242,3,"2020-08-31 01:19:01",478,3,1,1,2,2,1480
13243,3,"2020-08-31 01:19:16",478,3,1,1,2,2,1480
