date,HAHA,LIKE,LOVE,SUPPORT,WOW,SORRY,ANGER
2020-08-31 06:43:27,529,4,1,1,2,3,1629
2020-08-31 06:43:42,529,4,1,1,2,3,1629
2020-08-31 06:43:57,529,4,1,1,2,3,1629
2020-08-31 06:44:12,529,4,1,1,2,3,1629
2020-08-31 06:44:27,529,4,1,1,2,3,1629
2020-08-31 06:44:42,529,4,1,1,2,3,1629
2020-08-31 06:44:57,529,4,1,1,2,3,1630
2020-08-31 06:45:12,529,4,1,1,2,3,1630
2020-08-31 06:45:27,529,4,1,1,2,3,1630
2020-08-31 06:45:42,529,4,1,1,2,3,1630
2020-08-31 06:45:57,529,4,1,1,2,3,1630
2020-08-31 06:46:12,529,4,1,1,2,3,1630
2020-08-31 06:46:27,529,4,1,1,2,3,1630
2020-08-31 06:46:42,529,4,1,1,2,3,1630
2020-08-31 06:46:57,529,4,1,1,2,3,1630
2020-08-31 06:47:12,529,4,1,1,2,3,1630
2020-08-31 06:47:27,529,4,1,1,2,3,1630
2020-08-31 06:47:42,529,4,1,1,2,3,1630
2020-08-31 06:47:57,529,4,1,1,2,3,1630
2020-08-31 06:48:12,529,4,1,1,2,3,1630
2020-08-31 06:48:27,529,4,1,1,2,3,1630
2020-08-31 06:48:57,529,4,1,1,2,3,1630
2020-08-31 06:49:12,529,4,1,1,2,3,1630
2020-08-31 06:49:27,529,4,1,1,2,3,1630
2020-08-31 06:49:42,529,4,1,1,2,3,1630
2020-08-31 06:49:57,529,4,1,1,2,3,1631
2020-08-31 06:50:12,529,4,1,1,2,3,1631
2020-08-31 06:50:27,529,4,1,1,2,3,1631
2020-08-31 06:50:42,529,4,1,1,2,3,1631
2020-08-31 06:50:57,529,4,1,1,2,3,1631
2020-08-31 06:51:12,529,4,1,1,2,3,1631
2020-08-31 06:51:27,529,4,1,1,2,3,1631
2020-08-31 06:51:42,529,4,1,1,2,3,1631
2020-08-31 06:51:57,529,4,1,1,2,3,1631
2020-08-31 06:52:12,530,4,1,1,2,3,1631
2020-08-31 06:52:27,530,4,1,1,2,3,1631
2020-08-31 06:52:42,530,4,1,1,2,3,1631
2020-08-31 06:52:57,530,4,1,1,2,3,1631
